category,name,latitude,longitude,is_closed,rating,image_url,review_count,transactions,region
newamerican,Corridor Restaurant,37.7764980564565,-122.419301022754,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/nDRPz1S5bx9DXnifNZa7nA/o.jpg,373,[],region
pubs,The Dark Horse Inn,37.715864,-122.440564,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/BuvWZonKHSzntPgkCXNaIg/o.jpg,310,"['delivery', 'pickup']",region
vietnamese,OTD,37.7870707493052,-122.434144851548,False,3.5,https://s3-media2.fl.yelpcdn.com/bphoto/B_f3qnfj3P4wxbyTOT1gSw/o.jpg,673,[],region
beerbar,The Crafty Fox Ale House,37.76983,-122.42039,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/S_Q1fQikvBEoLE7YtYelsA/o.jpg,215,"['delivery', 'pickup']",region
wine_bars,Indian Paradox,37.77152,-122.43688,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/FVTKbuft6BmgiCVzYFT-Nw/o.jpg,163,[],region
sushi,Sushi Ondo,37.77246,-122.41653,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/iSC3trw1jFj9cE6BgNn_nw/o.jpg,107,['restaurant_reservation'],region
dimsum,Harborview Restaurant & Bar,37.7947539493135,-122.396224717197,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/FlvDykrzdyMb4hq7jO5U9w/o.jpg,291,['restaurant_reservation'],region
cafes,Sunday Gather,37.740334,-122.3891112,False,5.0,https://s3-media3.fl.yelpcdn.com/bphoto/0oxafVtJHvhzumRzXAOr4g/o.jpg,18,"['delivery', 'pickup']",region
popuprestaurants,Anomaly,37.7890183,-122.3915063,False,5.0,https://s3-media4.fl.yelpcdn.com/bphoto/6IOJDRtxYQXaxHZ_nYgntg/o.jpg,47,[],region
chinese,China Live,37.7977636140901,-122.407851420238,False,3.5,https://s3-media2.fl.yelpcdn.com/bphoto/xK241NDuWmhH31eEg270Hw/o.jpg,1144,"['restaurant_reservation', 'delivery', 'pickup']",region
sushi,Kuma Sushi + Sake,37.7866996515778,-122.419766782189,False,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/NVyUwp-IFgDsQvGdWmZ63Q/o.jpg,347,[],region
sushi,Hakashi Japanese Bar & Grill,37.781481382384,-122.396296,False,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/HcUwdemh3V_LxvpWeCDDcA/o.jpg,201,[],region
scandinavian,Kantine,37.770655,-122.425312,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/u9jciTqKd64krP9_ihH8sg/o.jpg,159,[],region
mini_golf,Urban Putt,37.7557019908942,-122.416826814485,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/TwiEXQx26-499bxhNEGyTg/o.jpg,1369,['pickup'],region
breakfast_brunch,Chloe's Cafe,37.7486351154446,-122.42695521362,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/ajPpR4O2uX1YsCSRCZsxQQ/o.jpg,990,[],region
bakeries,Vive La Tarte,37.75163,-122.43261,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/YlTEJbWy76AHI5nv3bqyRQ/o.jpg,48,[],region
latin,Franco's Latin Table,37.7406245,-122.4663397,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/HtIHH4C7wLJELOHcVuyWlg/o.jpg,54,"['restaurant_reservation', 'delivery', 'pickup']",region
newamerican,Parker Potrero,37.7624675556919,-122.396356112699,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/qYn7N8ZzGSuXmtClp9dhqQ/o.jpg,175,"['delivery', 'pickup']",region
sushi,Omakase,37.7706719094861,-122.402888577285,False,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/aabeBLf97F_5wkjntKchww/o.jpg,454,[],region
newamerican,Park Tavern,37.80113,-122.409,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/AuT6PBxWzRzeLcj07oB-xw/o.jpg,1558,[],region
thai,Bussaba,37.76441,-122.46369,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/EYWt18_vOnlCB2DIwjdG9A/o.jpg,75,"['restaurant_reservation', 'delivery', 'pickup']",region
bars,PianoFight,37.7838704221414,-122.410740837442,False,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/EjMr6troMd9pvq8UnG9Qvw/o.jpg,196,[],region
newamerican,The Vista Room,37.722949,-122.479177,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/NbXChV8W_TD_TrT13qiYmA/o.jpg,51,['restaurant_reservation'],region
italian,Spiazzo Ristorante,37.74035,-122.46588,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/JhJK1MHMGRuppRU8hCTSsg/o.jpg,650,"['restaurant_reservation', 'pickup']",region
indpak,Tilak,37.74085,-122.42273,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/ELvhlzU8rmv2gNlUe4l07g/o.jpg,235,"['delivery', 'pickup']",region
vegetarian,Greens Restaurant,37.8053224,-122.432264,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/3ZZTHtmY6Sx2lE28CwZmSw/o.jpg,2018,"['delivery', 'pickup']",region
